Date,Close,High,Low,Open,Volume
2017-12-19,80.07,82.47,80.04,82.47,1188703
2017-12-20,81.0,81.46,80.035,80.39,981325
2017-12-21,81.0,81.75,80.91,81.47,613849
2017-12-22,80.34,82.06,80.25,81.1,348199
2017-12-25,80.34,80.34,80.34,80.34,0
2017-12-26,80.39,80.77,80.01,80.29,251454
2017-12-27,80.0,80.77,79.99,80.66,479320
2017-12-28,79.56,80.7145,78.67,80.25,1124103
2017-12-29,79.56,80.29,78.82,80.0,662893
2018-01-01,79.56,79.56,79.56,79.56,0
2018-01-02,79.91,80.07,79.19,80.07,645412
2018-01-03,80.25,80.9111,79.66,80.22,1117395
2018-01-04,81.37,81.485,80.35,80.62,1211672
2018-01-05,81.57,82.445,81.1,81.78,851091
2018-01-08,81.24,81.7,80.92,81.35,539096
2018-01-09,82.93,83.9,81.16,81.55,925557
2018-01-10,82.6,83.35,82.13,82.76,851544
2018-01-11,84.38,84.55,82.6,82.6,987916
2018-01-12,85.04,85.27,83.76,84.32,904205
2018-01-15,85.04,85.04,85.04,85.04,0
2018-01-16,84.07,86.0,83.6364,85.31,652751
2018-01-17,84.21,84.64,83.55,84.64,741002
2018-01-18,84.05,84.73,83.75,84.3,554452
2018-01-19,86.23,86.28,83.98,84.39,890243
2018-01-22,85.8,86.09,84.56,85.86,477538
2018-01-23,85.35,85.66,84.71,85.66,675667
2018-01-24,85.58,86.58,84.92,85.72,487044
2018-01-25,85.35,86.3,85.0,86.05,345438
2018-01-26,86.37,86.405,85.35,85.85,594863
2018-01-29,86.68,87.07,86.16,86.3,590718
2018-01-30,85.44,86.64,85.44,86.18,527312
2018-01-31,86.11,86.819,85.51,85.63,902450
2018-02-01,85.17,86.99,84.79,85.84,528543
2018-02-02,81.85,84.6036,81.42,84.47,896471
2018-02-05,79.11,82.35,79.01,81.49,962300
2018-02-06,80.11,80.93,76.76,77.65,1132197
2018-02-07,79.96,81.2,79.74,79.74,578408
2018-02-08,77.32,80.24,77.24,79.92,894005
2018-02-09,78.49,79.02,76.15,78.21,1267433
2018-02-12,79.75,80.4,78.9792,79.15,1010618
2018-02-13,79.65,80.4,78.94,79.47,623258
2018-02-14,79.97,80.5,78.745,78.93,1074848
2018-02-15,82.26,82.57,80.52,80.8,685496
2018-02-16,82.72,83.535,81.85,82.19,692292
2018-02-19,82.72,82.72,82.72,82.72,0
2018-02-20,85.66,88.41,85.3,86.21,1657002
2018-02-21,86.72,87.94,85.44,86.13,1168828
2018-02-22,86.04,88.29,85.57,87.27,1061865
2018-02-23,86.17,87.09,85.83,86.5,798560
2018-02-26,87.85,88.0,85.97,86.55,1002920
2018-02-27,86.97,87.85,86.69,87.61,1218552
2018-02-28,84.11,87.05,84.1,87.03,1142504
2018-03-01,82.07,84.92,81.86,84.15,957412
2018-03-02,82.23,82.43,80.59,81.6,630085
2018-03-05,83.01,83.31,81.42,81.62,559738
2018-03-06,83.92,84.37,82.71,83.09,706807
2018-03-07,83.93,84.15,83.0,83.27,450479
2018-03-08,84.76,85.16,84.16,84.43,542111
2018-03-09,87.21,87.3,85.25,85.25,705529
2018-03-12,87.4,87.7805,87.045,87.52,621851
2018-03-13,86.09,87.99,85.28,87.7,644466
2018-03-14,85.36,86.41,85.24,86.41,294409
2018-03-15,85.48,85.83,84.79,85.53,313973
2018-03-16,85.88,86.27,85.26,85.37,676617
2018-03-19,85.25,85.965,84.48,85.84,409131
2018-03-20,85.63,86.27,84.94,85.32,373662
2018-03-21,85.94,86.69,85.53,85.77,350007
2018-03-22,84.6,86.67,84.55,85.29,689668
2018-03-23,82.96,85.21,82.84,84.86,812678
2018-03-26,84.56,84.62,83.19,84.14,763761
2018-03-27,84.0,86.0,83.82,85.08,805903
2018-03-28,83.13,84.05,82.91,84.0,717868
2018-03-29,85.29,85.77,83.33,83.72,807114
2018-03-30,85.29,85.29,85.29,85.29,0
2018-04-02,83.24,85.35,82.25,85.28,530739
2018-04-03,84.59,85.0,83.22,83.44,623305
2018-04-04,85.74,86.13,82.85,83.45,971692
2018-04-05,85.94,86.66,84.8,86.08,990901
2018-04-06,84.75,86.23,83.95,85.52,567846
2018-04-09,84.54,85.68,84.45,85.58,334393
2018-04-10,85.23,86.16,85.07,85.64,651729
2018-04-11,84.54,85.24,84.34,84.43,453193
2018-04-12,85.31,85.78,84.3901,84.98,587375
2018-04-13,84.56,85.84,84.17,85.77,335317
2018-04-16,85.37,86.05,84.8701,85.3,627643
2018-04-17,85.62,85.975,85.095,85.72,801388
2018-04-18,86.5,87.04,85.76,86.09,578739
2018-04-19,85.39,86.34,84.68,86.14,551504
2018-04-20,84.75,86.12,84.31,85.55,587022
2018-04-23,84.52,85.26,83.965,85.13,560432
2018-04-24,82.15,85.87,81.58,84.95,916961
2018-04-25,83.03,83.14,81.28,81.94,1287416
2018-04-26,78.59,79.54,75.5,75.5,4987435
2018-04-27,77.83,78.69,77.05,78.03,1842596
2018-04-30,77.18,78.46,76.92,78.0,1947671
2018-05-01,77.14,77.755,75.44,77.23,1534407
2018-05-02,75.12,77.72,74.94,75.75,2406526
2018-05-03,74.82,75.57,73.85,74.73,1348283
2018-05-04,76.15,76.475,74.0,74.07,1095932
2018-05-07,75.74,76.56,75.44,76.2,939357
2018-05-08,75.89,76.21,75.26,75.63,927249
2018-05-09,76.28,76.55,75.07,75.93,1018774
2018-05-10,77.31,77.39,76.27,76.43,440977
2018-05-11,77.28,78.23,76.91,77.19,480801
2018-05-14,76.85,78.02,76.65,77.33,677364
2018-05-15,76.46,76.72,75.65,76.58,545251
2018-05-16,77.02,77.36,76.5,76.56,403439
2018-05-17,76.87,77.32,76.64,76.73,569232
2018-05-18,78.37,78.5,76.6,76.88,1382689
2018-05-21,78.78,79.09,78.45,78.75,577190
2018-05-22,78.67,79.09,78.39,78.85,1015601
2018-05-23,79.22,79.27,78.14,78.28,1059126
2018-05-24,79.26,79.59,78.51,79.26,758608
2018-05-25,78.79,79.75,78.38,79.14,637825
2018-05-28,78.79,78.79,78.79,78.79,0
2018-05-29,78.27,79.31,77.825,78.38,990522
2018-05-30,79.21,79.71,78.13,78.82,601493
2018-05-31,76.43,79.31,76.42,79.31,715525
2018-06-01,77.89,78.33,77.09,77.1,725644
2018-06-04,78.32,78.5,77.71,78.14,490901
2018-06-05,79.17,79.53,78.5,78.5,555902
2018-06-06,79.23,79.23,78.53,79.22,356608
2018-06-07,80.21,80.42,79.4172,79.44,399946
2018-06-08,81.12,81.14,80.06,80.15,884923
2018-06-11,81.26,81.59,81.13,81.13,813802
2018-06-12,82.17,82.2299,81.09,81.41,605324
2018-06-13,80.9,82.12,80.34,82.12,934254
2018-06-14,81.79,82.46,80.8405,81.16,599881
2018-06-15,82.07,82.15,80.75,81.57,1195237
2018-06-18,81.48,81.87,81.14,81.66,673211
2018-06-19,80.17,81.04,79.29,80.95,621640
2018-06-20,80.0,80.48,79.29,80.35,635750
2018-06-21,77.88,79.82,77.495,79.82,663918
2018-06-22,77.69,78.48,77.45,78.35,786874
2018-06-25,76.38,77.5,76.14,77.5,793872
2018-06-26,76.33,76.99,76.19,76.8,719793
2018-06-27,77.39,77.8,76.25,76.46,1331556
2018-06-28,77.18,77.51,76.64,77.15,734662
2018-06-29,77.36,78.16,76.89,77.64,669590
2018-07-02,77.63,77.71,76.6501,76.95,466732
2018-07-03,77.02,78.74,76.92,78.09,233789
2018-07-04,77.02,77.02,77.02,77.02,0
2018-07-05,77.88,78.07,76.82,77.33,528384
2018-07-06,76.86,77.73,76.69,77.73,1010242
2018-07-09,77.94,78.35,76.89,77.26,660417
2018-07-10,78.35,78.44,77.66,77.99,594350
2018-07-11,77.91,78.23,77.46,78.09,305000
2018-07-12,79.08,79.28,78.0,78.4,434510
2018-07-13,79.71,80.03,77.86,79.3,546517
2018-07-16,79.24,79.81,79.0,79.59,685475
2018-07-17,80.08,80.12,78.74,78.74,516374
2018-07-18,79.23,80.36,79.19,80.05,588366
2018-07-19,78.68,79.22,78.275,78.92,909496
2018-07-20,79.49,80.47,78.05,78.38,609174
